_id,AfterCount,AfterCountStr,AverageScore,GoodRate,CommentCount,cn,product_category,product_detail,product_detail_url,product_id,product_price,product_shop_name,product_shop_url,type
136358 ,2080,2000+,5,0.96,617173,jd,音响,"漫步者（EDIFIER） R10U 2.0声道 多媒体音箱 音响 电脑音箱 黑色
								【JD自营】百元内畅销桌面小音箱，USB供电，使用方便，造型小巧！爆款真无线蓝牙耳机限时秒杀197元(此商品不参加上述活动)",//item.jd.com/136358.html,136358,￥79.00,漫步者京东自营旗舰店,//mall.jd.com/index-1000000187.html?from=pc,电子产品
136360 ,2497,2400+,5,0.97,654094,jd,音响,"漫步者（EDIFIER） R101V 2.1声道多媒体音箱 音响 电脑音箱 黑色
								【JD自营】入门级2.1多媒体音箱，JD月销过万，累计评价远超50W！爆款真无线蓝牙耳机限时秒杀197元(此商品不参加上述活动)",//item.jd.com/136360.html,136360,￥139.00,漫步者京东自营旗舰店,//mall.jd.com/index-1000000187.html?from=pc,电子产品
311349 ,224,200+,5,0.97,45324,jd,双肩包,"京东超市	
瑞士军刀威戈(Wenger)15.6英寸简约休闲笔记本电脑包双肩书包背包男女黑色SAB87610109037
								瑞士军刀威戈(Wenger)15.6英寸简约休闲笔记本电脑包双肩书包背包男女黑色SAB87610109037",//item.jd.com/311349.html,311349,￥97.00,威戈京东自营旗舰店,//mall.jd.com/index-1000001101.html?from=pc,包
316916 ,324,300+,5,0.97,311052,jd,鸭脖,"京东超市	
周黑鸭 卤鸭脖 休闲零食麻辣小吃武汉特产 真空小包装140g
								周黑鸭 卤鸭脖 休闲零食麻辣小吃武汉特产 真空小包装140g",//item.jd.com/316916.html,316916,￥14.90,周黑鸭京东自营旗舰店,//mall.jd.com/index-1000093247.html?from=pc,食品
318682 ,527,500+,5,0.99,250687,jd,瓜子,"京东超市	
正林  休闲食品   坚果炒货 3A黑瓜子500g/袋
								正林  休闲食品   坚果炒货 3A黑瓜子500g/袋",//item.jd.com/318682.html,318682,￥32.90,正林京东自营旗舰店,//mall.jd.com/index-1000092489.html?from=pc,食品
320620 ,1303,1300+,5,0.96,305981,jd,音响,"漫步者（EDIFIER） R201T北美 2.1声道 多媒体音箱 音响 电脑音箱 黑色
								【JD自营】经典R201系列，畅销多年，性价比优越！爆款真无线蓝牙耳机限时秒杀197元(此商品不参加上述活动)",//item.jd.com/320620.html,320620,￥239.00,漫步者京东自营旗舰店,//mall.jd.com/index-1000000187.html?from=pc,电子产品
338860 ,168,100+,5,0.94,39617,jd,音响,"漫步者（EDIFIER） M16  桌面音响音箱 家用电脑音响 USB接口 桌面游戏音响
								【JD自营】铝合金箱体小巧便携，集成USB声卡，单键音量调节，操作简便！爆款真无线蓝牙耳机限时秒杀197元(此商品不参加上述活动)",//item.jd.com/338860.html,338860,￥219.00,漫步者京东自营旗舰店,//mall.jd.com/index-1000000187.html?from=pc,电子产品
389561 ,375,300+,5,0.97,107280,jd,钱包,"七匹狼钱包男士长款 头层牛皮时尚多功能商务休闲两折钱夹耐磨百搭 3A1310179黑色520情人节礼物
								【七匹狼男包优选品质，520品牌闪购特卖】5月17日-5月19,满99减15,满199减30,满399减60点击查看！",//item.jd.com/389561.html,389561,￥125.00,七匹狼京东自营旗舰店,//mall.jd.com/index-1000001212.html?from=pc,包
389582 ,891,800+,5,0.97,331775,jd,钱包,"七匹狼钱包 横款两折钱夹皮夹多功能票夹短款零钱夹男 3A1310185黑色520情人节礼物
								【七匹狼男包优选品质，520品牌闪购特卖】5月17日-5月19,满99减15,满199减30,满399减60点击查看！",//item.jd.com/389582.html,389582,￥89.00,七匹狼京东自营旗舰店,//mall.jd.com/index-1000001212.html?from=pc,包
428946 ,516,500+,5,0.97,108555,jd,音响,"漫步者（EDIFIER） R18T 2.0声道 木质多媒体音响音箱   电脑音响   黑色
								【JD自营】身形小巧，音质出色，桌面精灵，性价比出众！爆款真无线蓝牙耳机限时秒杀197元(此商品不参加上述活动)",//item.jd.com/428946.html,428946,￥119.00,漫步者京东自营旗舰店,//mall.jd.com/index-1000000187.html?from=pc,电子产品
495359 ,1886,1800+,5,0.99,1363795,jd,薯片,"京东超市	
Orion 好丽友 休闲零食 薯片 非油炸 薯愿三连罐312g/组（104g*3薯片）（新老包装随机发货）
								Orion 好丽友 休闲零食 薯片 非油炸 薯愿三连罐312g/组（104g*3薯片）（新老包装随机发货）",//item.jd.com/495359.html,495359,￥19.90,好丽友京东自营旗舰店,//mall.jd.com/index-1000007923.html?from=pc,食品
526472 ,914,900+,5,0.98,380249,jd,粉底,"京东超市	
谜尚（MISSHA）红BB魅力润颜修容霜SPF42/PA+++[21号]50ml（气垫bb霜女粉底液遮瑕防晒霜）
								经典爆款“红BB”底价钜惠！满89元立减20元，到手价69元！【点击立即抢购】(此商品不参加上述活动)",//item.jd.com/526472.html,526472,￥89.00,谜尚京东自营官方旗舰店,//mall.jd.com/index-1000002483.html?from=pc,美妆
567895 ,482,400+,5,0.97,66873,jd,音响,"哈曼卡顿 Harman Kardon SoundSticks III 水晶3代音响 电脑/电视音箱/音响 室内桌面音响 多媒体低音炮
								【哈曼卡顿品牌爆款：音乐琉璃2代】下单赠硅胶防尘盖
【高保真音响】360环绕立体声,温和呼吸灯，一键免提通话
【JD自营】现货发售，即可拥有咨询客服有礼",//item.jd.com/567895.html,567895,￥848.00,哈曼卡顿京东自营旗舰店,//mall.jd.com/index-1000000323.html?from=pc,电子产品
654218 ,1530,1500+,5,0.95,514485,jd,耳机,"漫步者（EDIFIER）K800 头戴式游戏耳机 电脑耳机耳麦 绝地求生耳机 吃鸡耳机 办公教育 学习培训 黑色
								【JD自营】漫步者百元内高性价比明星耳麦，音质清晰，累计好评远超30W!爆款真无线蓝牙耳机限时秒杀197元(此商品不参加上述活动)",//item.jd.com/654218.html,654218,￥69.00,漫步者京东自营旗舰店,//mall.jd.com/index-1000000187.html?from=pc,电子产品
